Scenario - phase2_matchingPennies_algorithm1
Logfile written - 11/10/2019 10:30:27

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

873	104	Response	3	2377375	7184	5
873	104	Port Input	4	2377375	7184	5
873	104	Response	3	2378882	8691	6
873	104	Port Input	4	2378882	8691	6
873	104	Response	3	2380227	10036	6
873	104	Port Input	4	2380227	10036	6
873	105	Nothing	19	2403674	0	1			0		other	0
873	105	Response	3	2434476	30802	6
873	105	Port Input	4	2434476	30802	6
873	106	Nothing	19	2450928	0	1			0		other	0
873	107	Nothing	99	2482242	0	1			0		other	0
873	108	Nothing	52	2482364	0	1			0		other	0
873	108	Response	3	2483871	1507	6
873	108	Port Input	4	2483871	1507	6
873	109	Nothing	111	2483911	0	2			0		false_alarm	538
873	109	Response	3	2485391	1480	5
873	109	Port Input	4	2485391	1480	5
873	109	Response	3	2485395	1484	7
873	109	Port Input	4	2485395	1484	7
873	109	Response	3	2487492	3581	5
873	109	Port Input	4	2487492	3581	5
873	109	Response	3	2488744	4833	6
873	109	Port Input	4	2488744	4833	6
873	109	Response	3	2489979	6068	6
873	109	Port Input	4	2489979	6068	6
873	109	Response	3	2491445	7534	6
873	109	Port Input	4	2491445	7534	6
873	109	Response	3	2492954	9043	7
873	109	Port Input	4	2492954	9043	7
873	109	Response	3	2494289	10378	6
873	109	Port Input	4	2494289	10378	6
873	109	Response	3	2498252	14341	6
873	109	Port Input	4	2498252	14341	6
873	109	Response	3	2499419	15508	8
873	109	Port Input	4	2499419	15508	8
873	110	Nothing	19	2517332	0	1			0		other	0
873	111	Nothing	99	2534174	0	1			0		other	0
873	112	Nothing	52	2534298	0	1			0		other	0
873	112	Response	3	2536653	2355	6
873	112	Port Input	4	2536653	2355	6
873	113	Nothing	111	2536690	0	1			0		false_alarm	564
873	113	Response	3	2537976	1286	6
873	113	Port Input	4	2537976	1286	6
873	113	Response	3	2539243	2553	6
873	113	Port Input	4	2539243	2553	6
873	113	Response	3	2540498	3808	6
873	113	Port Input	4	2540498	3808	6
873	113	Response	3	2541946	5256	6
873	113	Port Input	4	2541946	5256	6
873	113	Response	3	2543226	6536	6
873	113	Port Input	4	2543226	6536	6
873	113	Response	3	2544538	7848	6
873	113	Port Input	4	2544538	7848	6
873	113	Response	3	2546018	9328	6
873	113	Port Input	4	2546018	9328	6
873	113	Response	3	2547209	10519	6
873	113	Port Input	4	2547209	10519	6
873	114	Nothing	19	2570090	0	1			0		other	0
873	115	Nothing	99	2595347	0	1			0		other	0
873	116	Nothing	51	2595512	0	1			0		other	0
873	116	Response	3	2597134	1622	5
873	116	Port Input	4	2597134	1622	5
873	117	Nothing	101	2597165	0	1			0		false_alarm	586
873	117	Response	3	2598283	1118	5
873	117	Port Input	4	2598283	1118	5
873	117	Response	3	2599843	2678	4
873	117	Port Input	4	2599843	2678	4
873	117	Response	2	2601249	4084	5
873	117	Port Input	1	2601249	4084	5
873	118	Nothing	19	2630727	0	1			0		other	0
873	119	Nothing	99	2647874	0	2			0		other	0
873	120	Nothing	52	2648068	0	1			0		other	0
873	120	Response	3	2649605	1537	6
873	120	Port Input	4	2649605	1537	6
873	121	Nothing	111	2649644	0	1			0		false_alarm	598
873	121	Response	3	2650941	1297	6
873	121	Port Input	4	2650941	1297	6
873	121	Response	3	2652210	2566	6
873	121	Port Input	4	2652210	2566	6
873	121	Response	3	2653179	3535	6
873	121	Port Input	4	2653179	3535	6
873	121	Response	3	2654461	4817	6
873	121	Port Input	4	2654461	4817	6
873	121	Response	3	2655638	5994	6
873	121	Port Input	4	2655638	5994	6
873	121	Response	3	2656964	7320	5
873	121	Port Input	4	2656964	7320	5
873	121	Response	3	2658349	8705	6
873	121	Port Input	4	2658349	8705	6
873	121	Response	3	2659551	9907	5
873	121	Port Input	4	2659551	9907	5
873	121	Response	3	2661139	11495	4
873	121	Port Input	4	2661139	11495	4
873	121	Response	3	2662356	12712	6
873	121	Port Input	4	2662356	12712	6
873	122	Nothing	19	2683050	0	1			0		other	0
873	122	Response	3	2702395	19345	6
873	122	Port Input	4	2702395	19345	6
873	122	Response	3	2703770	20720	6
873	122	Port Input	4	2703770	20720	6
873	123	Nothing	19	2703930	0	1			0		other	0
873	125	Nothing	99	2750977	0	1			0		other	0
873	126	Nothing	51	2751119	0	1			0		other	0
873	126	Response	3	2752611	1492	5
873	126	Port Input	4	2752611	1492	5
873	127	Nothing	101	2752645	0	1			0		other	0
873	128	Nothing	19	2786151	0	1			0		other	0
873	129	Nothing	99	2800461	0	1			0		other	0
873	130	Nothing	51	2800582	0	1			0		other	0
873	130	Response	3	2800844	262	11
873	130	Port Input	4	2800844	262	11
